symbol,status,best_model,horizon,accuracy,precision,recall,f1,train_rows,test_rows,elapsed_s,error
CARBORUNIV.NS,ok,Ensemble,6 Months,0.9127,0.7237,0.6471,0.6832,0,0,164.6,
CASTROLIND.NS,ok,Ensemble,3 Months,0.9161,0.75,0.0536,0.1,0,0,157.9,
CCL.NS,ok,LightGBM,6 Months,0.7003,0.9191,0.4325,0.5882,0,0,196.4,
CDSL.NS,ok,RandForest,3 Months,0.7785,0.6667,0.1316,0.2198,0,0,158.2,
CEATLTD.NS,ok,XGBoost,6 Months,0.661,1.0,0.0571,0.1081,0,0,163.3,
CENTRALBK.NS,below_threshold,Ensemble,6 Months,0.9589,0.375,0.0,0.0,0,0,152.9,
CENTURYPLY.NS,ok,RandForest,3 Months,0.7873,0.7143,0.1935,0.3046,0,0,108.1,
CERA.NS,ok,XGB_HiReg,6 Months,0.7928,0.9,0.0698,0.1295,0,0,156.2,
CESC.NS,below_threshold,LGB_HiReg,1 Week,0.6938,0.4839,0.0,0.0,0,0,157.8,
CGCL.NS,ok,RandForest,2 Weeks,0.755,0.7368,0.0782,0.1414,0,0,171.6,
CGPOWER.NS,ok,XGB_HiReg,3 Months,0.7453,0.7364,0.4222,0.5367,0,0,166.6,
CHALET.NS,below_threshold,XGB_HiReg,1 Month,0.7573,0.5556,0.0,0.0,0,0,156.2,
CHAMBLFERT.NS,ok,XGB_HiReg,6 Months,0.9041,1.0,0.2432,0.3913,0,0,155.6,
CHENNPETRO.NS,below_threshold,StackEnsemble,3 Months,0.5994,0.7978,0.0,0.0,0,0,163.0,
CHOICEIN.NS,ok,Ensemble,3 Months,0.7888,0.734,0.3833,0.5036,0,0,149.8,
CHOLAFIN.NS,ok,StackEnsemble,1 Month,0.7398,0.8333,0.0538,0.101,0,0,164.7,
CHOLAHLDNG.NS,ok,Ensemble,6 Months,0.793,0.7069,0.5541,0.6212,0,0,183.3,
CIPLA.NS,below_threshold,RandForest,3 Months,0.8944,0.36,0.0,0.0,0,0,157.7,
CLEAN.NS,ok,Ensemble,6 Months,0.8801,0.7857,0.141,0.2391,0,0,159.4,
COALINDIA.NS,below_threshold,GradBoost,2 Weeks,0.7954,0.4375,0.0,0.0,0,0,155.9,
COCHINSHIP.NS,ok,Ensemble,1 Month,0.7675,0.8462,0.0655,0.1215,0,0,167.1,
COFORGE.NS,ok,Ensemble,3 Months,0.7376,0.7727,0.0939,0.1675,0,0,206.0,
COHANCE.NS,ok,Ensemble,2 Weeks,0.8271,0.7,0.0565,0.1045,0,0,140.1,
COLPAL.NS,below_threshold,TabNet,1 Week,0.7825,0.3429,0.0,0.0,0,0,141.8,
CONCOR.NS,ok,Ensemble,1 Week,0.7729,0.6111,0.0675,0.1215,0,0,158.3,
CONCORDBIO.NS,ok,Ensemble,6 Months,0.9024,0.7143,0.0833,0.1493,0,0,140.8,
COROMANDEL.NS,ok,XGB_HiReg,1 Month,0.7632,0.6923,0.0539,0.1,0,0,155.4,
CRAFTSMAN.NS,below_threshold,RandForest,3 Months,0.5854,1.0,0.0,0.0,0,0,172.9,
CREDITACC.NS,ok,XGB_HiReg,6 Months,0.6387,0.7,0.0639,0.1172,0,0,153.7,
CRISIL.NS,ok,RandForest,6 Months,0.8476,0.7273,0.0851,0.1524,0,0,156.0,
CROMPTON.NS,ok,Ensemble,6 Months,0.9469,0.75,0.2432,0.3673,0,0,151.9,
CUB.NS,ok,XGBoost,1 Month,0.6418,0.7222,0.0514,0.0959,0,0,149.8,
